ds,ico,nazev
xa2a9sv,00240346,Městská část Praha-Kolovraty
z92bva7,00240362,Městská část Praha-Královice
5z8aktm,00240389,Městská část Praha-Křeslice
cxnbudp,00231134,Městská část Praha-Kunratice
u8xaktr,00231142,Městská část Praha-Libuš
a4da5ui,00241431,Městská část Praha-Lipence
sufanvv,00241458,Městská část Praha-Lochkov
einbsz9,00231207,Městská část Praha-Lysolaje
27qb3d8,00231215,Městská část Praha-Nebušice
kfnaktv,00240516,Městská část Praha-Nedvězí
wmmbtke,00231363,Městská část Praha-Petrovice
bndaktz,00241571,Městská část Praha-Přední Kopanina
zb9bzi9,00241628,Městská část Praha-Řeporyje
r3taksc,00240711,Městská část Praha-Satalice
7p9bt2g,00241661,Městská část Praha-Slivenec
95ibzi3,00231231,Městská část Praha-Suchdol
r3ibjti,00241717,Městská část Praha-Šeberov
ethakud,00231371,Městská část Praha-Štěrboholy
9qsbzvx,45246858,Městská část Praha-Troja
2w9bx6s,00241784,Městská část Praha-Újezd
nqdbuw2,00231185,Městská část Praha-Velká Chuchle
m5pbt2p,00240982,Městská část Praha-Vinoř
zcmap6w,00241857,Městská část Praha-Zbraslav
cnbbtxh,00241881,Městská část Praha-Zličín
pnfarmt,00300535,Městská část Suché Lazce
yfqarmp,00300535,Městská část Vávrovice
88zarmj,00300535,Městská část Vlaštovičky
h2aarnb,00300535,Městská část Zlatníky
86jada7,00006963,Městská správa sociálního zabezpečení Brno
396ah7k,00026069,Městské státní zastupitelství v Brně
ijeabe3,00026000,Městské státní zastupitelství v Praze
g47bft8,00845451,Městský obvod Hošťálkovice
8bwbfse,00845451,Městský obvod Hrabová
xhnbuww,00845451,Městský obvod Krásné Pole
2r7bt6b,00845451,Městský obvod Lhotka
p7vb6nr,00262978,Městský obvod Liberec-Vratislavice nad Nisou
nrcbfsn,00845451,Městský obvod Mariánské Hory a Hulváky
xchb29h,00845451,Městský obvod Martinov
frpbzih,00845451,Městský obvod Michálkovice
c9ybfpi,00845451,Městský obvod Moravská Ostrava a Přívoz
dx3bfst,00845451,Městský obvod Nová Bělá
qzgbtmw,00845451,Městský obvod Nová Ves
2s3brdz,00845451,Městský obvod Ostrava-Jih
5hpbxbt,00274046,Městský obvod Pardubice I
hhrb36i,00274046,Městský obvod Pardubice II
5pmbyi2,00274046,Městský obvod Pardubice III
3kgb22c,00274046,Městský obvod Pardubice IV
mbbbxhp,00274046,Městský obvod Pardubice V.
vy7byam,00274046,Městský obvod Pardubice VI
axwbv4z,00274046,Městský obvod Pardubice VII
a92b54z,00274046,Městský obvod Pardubice VIII
46sbfr2,00845451,Městský obvod Petřkovice
ejibp8y,00845451,Městský obvod Plesná
2dibh62,00075370,Městský obvod Plzeň 1
4ifa947,00075370,Městský obvod Plzeň 10-Lhota
egwbyju,00075370,Městský obvod Plzeň 2-Slovany
ufxbt4h,00075370,Městský obvod Plzeň 3
aupa97w,00075370,Městský obvod Plzeň 4
u98b2yk,00075370,Městský obvod Plzeň 5-Křimice
mcyb4a9,00075370,Městský obvod Plzeň 6-Litice
v59b4a5,00075370,Městský obvod Plzeň 7-Radčice
59tastc,00075370,Městský obvod Plzeň 8-Černice
6xib4ax,00075370,Městský obvod Plzeň 9-Malesice
udhbfr6,00845451,Městský obvod Polanka nad Odrou
xpkbv55,00845451,Městský obvod Poruba
cknbn6z,00845451,Městský obvod Proskovice
h4ibsps,00845451,Městský obvod Pustkovec
iygb6cd,00845451,Městský obvod Radvanice a Bartovice
56zbpub,00845451,Městský obvod Slezská Ostrava
jj8bfrc,00845451,Městský obvod Stará Bělá
zzgb4es,00845451,Městský obvod Svinov
wu8bzk6,00845451,Městský obvod Třebovice
28kbykx,00081531,Městský obvod Ústí nad Labem-město
3qxbasv,00081531,Městský obvod Ústí nad Labem-Neštěmice
6aebn39,00081531,Městský obvod Ústí nad Labem-Severní Terasa
sbzbn22,00081531,Městský obvod Ústí nad Labem-Střekov
7mqbr27,00845451,Městský obvod Vítkovice
7y7abii,00025062,Městský soud v Brně
snkabbm,00215660,Městský soud v Praze
cjvbfk8,00285595,Městys Batelov
mh5bvxn,00292478,Městys Běhařovice
pt7bfi6,00249530,Městys Bernartice
e2wbfia,00245798,Městys Besednice
7hcb7xj,00237469,Městys Bezno
i42a3rw,00235997,Městys Bílé Podolí
bvsbfhv,00292516,Městys Blížkovice
ithbpzs,00293971,Městys Bobrová
8qnbffj,00294004,Městys Bohdalov
s4mbq5j,00269867,Městys Bojanov
ur9bfec,00283011,Městys Boleradice
a7pbfej,00252107,Městys Borotín
cz7bwdy,00247855,Městys Božejov
dnqbfcn,00291668,Městys Brankovice
tjwbssy,00237540,Městys Brodce
cfhbvhk,00288063,Městys Brodek u Prostějova
qu7bw79,00301078,Městys Brodek u Přerova
ciwbuqk,00263397,Městys Brozany nad Ohří
uj5b2va,00237574,Městys Březno
tczb6p6,00290866,Městys Buchlovice
n5zbrsw,00289159,Městys Budišov
eerak7a,00235300,Městys Cerhenice
caibe6z,00233196,Městys Cerhovice
xm2bezi,00246816,Městys Chlum u Třeboně
sefb3dc,00259861,Městys Chodová Planá
d3gbezr,00273643,Městys Choltice
et4bg4c,00237914,Městys Chotětov
zykb673,00270202,Městys Chroustovice
rzpb3q8,00255599,Městys Chudenice
m6nbewb,00556262,Městys Cítoliby
t6vaum5,00255319,Městys Čachrov
sg9a6cf,00274780,Městys Častolovice
7mmb4da,00231550,Městys Čechtice
beebp7j,00280097,Městys Černá Hora
piube4y,00277720,Městys Černý Důl
erjbe44,00235326,Městys Červené Pečky
ywtbfy6,00267279,Městys Česká Bělá
p67bkrv,00278661,Městys České Heřmanice
d8cb7pf,00231614,Městys Český Šternberk
rzvbe22,00251089,Městys Čestice
txya8ia,00289264,Městys Dalešice
aeybpn5,00241156,Městys DAVLE
izibevw,00281697,Městys Deblín
grzbxaq,00255394,Městys Dešenice
qmpbeue,00231690,Městys Divišov
yqvberz,00244791,Městys Dolní Bukovsko
edkbnzr,00285765,Městys Dolní Cerekev
pxkber4,00278734,Městys Dolní Čermná
uvnbem9,00280143,Městys Doubravice nad Svitavou
5nxbem6,00294268,Městys Doubravník
j4dbemd,00274909,Městys Doudleby nad Orlicí
2htbekr,00288209,Městys Drahany
9qaataw,00281727,Městys Drásov
gw9bek2,00283142,Městys Drnholec
ipbbg82,00301213,Městys Dřevohostice
a28b7n4,00250406,Městys Dub
4yubeit,00298867,Městys Dub nad Moravou
wnkbeg2,00245861,Městys Frymburk
qccbee8,00267431,Městys Havlíčkova Borová
bsga5xu,00376833,Městys Heraltice
yaabwzf,00260525,Městys Holany
tv8bd4s,00266311,Městys Hostomice
abjbqf5,00301329,Městys Hustopeče nad Bečvou
yy9bubi,00291811,Městys Hvězdlice
5scbdu2,00280283,Městys Jedovnice
pe9b4j8,00294471,Městys Jimramov
gewb4e4,00242381,Městys JINCE
439bdrt,00236144,Městys Kácov
jhpbdr3,00286079,Městys Kamenice
gcjbdqn,00233374,Městys Karlštejn
rd5b5m7,00251305,Městys Katovice
tkvbdnm,00253472,Městys Klenčí pod Čerchovem
angb7zw,00243868,Městys Kněževes
qaeb8ny,00280330,Městys Knínice
fyhbxyd,00255688,Městys Kolinec
9tbb3v5,00253481,Městys Koloveč
chcbdkx,00233382,Městys Komárov
em6bfv6,00239305,Městys Kounice
n3jbdfj,00261947,Městys Kovářská
vuwb3uw,00288390,Městys Kralice na Hané
4swbdbk,00267716,Městys Krucemburk
a46bdec,00245950,Městys Křemže
grbbdds,00239364,Městys Křinec
wizb3x9,00243973,Městys Křivoklát
xgvbmc5,00232076,Městys Křivsoudov
7x2bdcz,00294616,Městys Křižanov
ssbb5tq,00280429,Městys Křtiny
5sfa3h2,00279099,Městys Kunvald
6tia8t2,00240893,Městys Lázně Toušeň
dh9b7k7,00245135,Městys Ledenice
vgiastg,00263877,Městys Levín
b7zbc6s,00250546,Městys Lhenice
262bhgc,00267791,Městys Libice nad Doubravou
yghay7g,00479411,Městys Liblín
5vrbc32,00275891,Městys Libštát
rgnb7me,00233501,Městys Liteň
xjhbcz9,00287431,Městys Litenčice
nr8bczf,00300381,Městys Litultovice
jk4bcy2,00280577,Městys Lomnice
6sgbyaf,00239399,Městys Loučeň
q89bcxh,00232173,Městys Louňovice pod Blaníkem
8ckbzpb,00286192,Městys Luka nad Jihlavou
daubcw8,00248606,Městys Lukavec
zmva2x7,00636843,Městys Lukov
aheb3ze,00280615,Městys Lysice
95qbcuv,00272809,Městys Machov
6ccautj,00236217,Městys Malešov
qi6bcu7,00252522,Městys Malšice
h69a7zx,00232181,Městys Maršovice
r2uazwq,00488046,Městys Medlov
stabqpd,00294799,Městys Měřín
b9jbuad,00293148,Městys Mikulovice
sa2b36e,00278149,Městys Mladé Buky
xfzbp5e,00271853,Městys Mlázovice
bf3buy5,00289922,Městys Mohelno
ydpbv8f,00283363,Městys Moravská Nová Ves
cnebhkf,00286265,MĚSTYS MRÁKOTÍN
n6ybcnj,00244091,Městys Mšec
d6sbqju,00232289,Městys Načeradec
2fabckg,00299260,Městys Náměšť na Hané
myib2da,00294845,Městys Nedvědice
bgxbr7u,00240524,Městys Nehvizdy
hyfa9jy,00265284,Městys Nepomyšl
jgzatu8,00232360,Městys Netvořice
4qgayyb,00232378,Městys Neustupov
czhbcg2,00288501,MĚSTYS NEZAMYSLICE
gmqb2uz,00283428,Městys Nosislav
7pdbwtp,00248720,Městys Nová Cerekev
9udbcep,00286311,Městys Nová Říše
p9tbcez,00236276,Městys Nové Dvory
vvybcdg,00294926,Městys Nové Veselí
3h5bccy,00272884,MĚSTYS NOVÝ HRÁDEK
squbcc4,00304131,Městys Nový Hrozenkov
hxjbcc7,00248738,Městys Nový Rychnov
pjqbcbp,00290050,Městys Okříšky
pdpbmfj,00636886,Městys Olbramkostel
xunbz5k,00293270,Městys Olbramovice
wbebvxg,00637475,Městys Oleksovice
fivb24j,00290068,Městys Opatov
ba7a4ai,00295035,Městys Ostrov nad Oslavou
z5xbb6b,00280780,Městys Ostrov u Macochy
4jzbq8s,00377155,Městys Ostrovačice
5cqbgy8,00291218,Městys Osvětimany
wytbb5w,00265314,Městys Panenský Týnec
sz4bn5c,00244210,Městys Pavlíkov
677bit9,00271926,Městys Pecka
zfubb3z,00265331,Městys Peruc
e5cbtvj,00235636,Městys Plaňany
kuwbs32,00271951,Městys Podhradí
yrrbbyp,00291251,Městys Polešovice
qubbzyg,00568708,Městys Pozlovice
ysfbvvi,00282375,Městys Pozořice
8uxbbv8,00293415,Městys Prosiměřice
x3nbbvc,00288675,Městys Protivanov
n2vatir,00246093,Městys Přídolí
j49bbu5,00251721,Městys Radomyšl
793bxp4,00236381,Městys Rataje nad Sázavou
674bu6c,00265446,Městys Ročov
z6ib8ea,00290360,Městys Rokytnice nad Rokytnou
ygebbih,00244384,Městys Senomaty
3ycb5gr,00250091,Městys Sepekov
bqqbbhe,00244422,Městys Slabce
ci4a72g,00265497,Městys Slavětín
r56bbgr,00280950,Městys Sloup
uk7bbeu,00295451,Městys Sněžné
syia7zr,00508934,Městys Sovínky
rf3bbdf,00298387,Městys Spálov
p43jdxf,00252930,Městys Stádlec
vcxbgan,00286648,Městys Stará Říše
w6nbpp8,00290491,Městys Stařeč
ex7bz88,00286656,Městys Stonařov
wbka89d,00260169,Městys Stráž
uqebxbx,00295493,Městys Strážek
i6red5q,00250694,Městys Strážný
st3bx98,00250708,Městys Strunkovice nad Blanicí
wpabydw,00236462,Městys Suchdol
fakba7w,00298450,Městys Suchdol nad Odrou
kb9amky,00573141,Městys Svatava
pdsba4g,00281042,Městys Svitávka
x6ybmff,00277452,Městys Svojanov
fzab7i7,00293580,Městys Šatov
c2yb5xr,00245500,Městys Ševětín
93sb64m,00240869,MĚSTYS ŠKVOREC
i5tbbbm,00241725,Městys ŠTĚCHOVICE
acibbbr,00251895,Městys Štěkeň
zi9bbaz,00295558,Městys Štěpánov nad Svratkou
j8jbme6,00293598,Městys Štítary
thdbqsp,00268356,Městys Štoky
iagbtwy,00292354,Městys Švábenice
bfabmea,00288853,MĚSTYS Tištín
zxzbax4,00271055,Městys Trhová Kamenice
39vbg8s,00637637,Městys Troskotovice
s23a9z2,00268402,Městys Uhelná Příbram
exebsnd,00268411,Městys Úsobí
kyha5kv,00271128,Městys Včelákov
xtvbsjt,00283690,Městys Velké Němčice
2utbjte,00654451,Městys Velké Poříčí
jxbbamv,00299677,Městys Velký Újezd
metbkdk,00484776,Městys Velký Vřešťov
2crbak9,00293768,Městys Vémyslice
fepbubs,00286842,Městys Větrný Jeníkov
gr7bakj,00282804,Městys Veverská Bítýška
n5eaviy,00268470,Městys Vilémov
w7mbaju,00293784,Městys Višňové
dk3baj6,00290661,Městys Vladislav
ekebmfp,00295761,Městys Vojnův Městec
4ugbuf7,00293806,Městys Vranov nad Dyjí
eegbj8g,00235121,Městys Vraný
ayvbgym,00233005,Městys Vrchotovy Janovice
4i8bhnz,00253871,Městys Všeruby
p5qata7,00237329,Městys Všetaty
hs7br9m,00243582,Městys Vysoký Chlumec
j8rayq3,00472051,Městys Zápy
vsdbzum,00262617,Městys ZÁSADA
43jatuw,00233072,Městys Zdislavice
2npb7ae,00235172,Městys Zlonice
z4ybrap,00573868,Městys Zvíkovec
wtgb66n,00236683,Městys Žehušice
g2jbp62,00290751,Městys Želetava
wzpa9cp,00273295,Městys Žernov
2rha99f,00257508,Městys Žinkovy
sdnbtti,00271292,Městys Žumberk
2bw6skx,75342031,Mgr. Jiří Hron
iv59nqr,67358420,"Mohyla René, Mgr. - soudní exekutor"
uv9cav7,41739361,Michal Petr - notář
5picav2,25802232,Michálek Miroslav - notář
n94cawq,25802259,Michálková Jana - notářka
5phtq8y,72074116,"Michlová Monika, Mgr., Ing. - soudní exekutorka"
xd24rz4,67967591,"Micka Petr, Mgr. - soudní exekutor"
jckg8qd,71238573,"Mika Dalimil, JUDr., LL.M. - soudní exekutor"
x3dcawi,71245669,Mika Lubomír - notář
n75aau3,66003008,Ministerstvo dopravy
xzeaauv,00006947,Ministerstvo financí
8spaaur,00023671,Ministerstvo kultury
hjyaavk,60162694,Ministerstvo obrany
sc9aavg,00551023,Ministerstvo práce a sociálních věcí
26iaava,66002222,Ministerstvo pro místní rozvoj
bxtaaw4,47609109,Ministerstvo průmyslu a obchodu
kq4aawz,00025429,Ministerstvo spravedlnosti
vidaawt,00022985,"Ministerstvo školství, mládeže a tělovýchovy"
6bnaawp,00007064,Ministerstvo vnitra
e4xaaxh,45769851,Ministerstvo zahraničních věcí
pv8aaxd,00024341,Ministerstvo zdravotnictví
yphaax8,00020478,Ministerstvo zemědělství
9gsaax4,00164801,Ministerstvo životního prostředí
mh4tcai,63715091,Mirafuentes Kamila - notářka
5vct4s8,66249210,"Mlynarčík Jan, Mgr. - soudní exekutor"
4w6g8q5,66245338,"Molák Stanislav, Mgr. - soudní exekutor"
8x6bxsd,70890692,Moravskoslezský kraj
p8caixb,70979146,Moravský zemský archiv v Brně
ifq9ia3,02372983,Motlíková Markéta - notářka
28hcaxx,70947651,Mrzena Erik - notář
6pvfq2q,60076518,"MŠ, ZŠ a PrŠ"
6dmcayc,75092751,Müllerová Vanda - notářka
bzscayr,25802305,Musílková Alena - notářka
ks3caym,25802291,Musílková Marie - notářka
vkccayg,25802313,Muzikářová Květuše - notářka
84taiur,00007064,MV - generální ředitelství HZS ČR
fe3aixh,70979821,Národní archiv
h93aayw,68403569,Národní bezpečnostní úřad
wx3j85b,00023281,Národní galerie
2cy8h6t,75032333,Národní památkový ústav
dqfg8rw,13181891,"Navrátil Ladislav, JUDr. - soudní exekutor"
e6wcaz6,25802330,Navrátilová Šárka - notářka
nhqg8rs,12468347,"Nedbálek Ivo, Mgr. - soudní exekutor, jemuž zanikl výkon úřadu, zastoupený soudním exekutorem Mgr. Pavlem Enderem"
yrgcazv,25802356,Nejedlová Zuzana - notářka
s3caayq,49370227,Nejvyšší kontrolní úřad
kccaa9t,48510190,Nejvyšší soud
wwjaa4f,75003716,Nejvyšší správní soud
5smaetu,49467352,Nejvyšší státní zastupitelství
xazg8rn,49163965,"Němec Luděk, Mgr. - soudní exekutor"
9ircazr,25802372,Némethová Jitka - notářka
b7bkyq7,04786955,Nepomucká Alice - notářka
vs24tdi,70333033,Neubauer Radim - notář
s5bca2d,25802402,Neumanová Eva - notářka
74ag8rg,70623686,"Nevřela Jiří, Mgr. - soudní exekutor"
6n3dc9n,73097187,Niklová Martina - notářka
3wkca29,25802429,Nohejlová Eva - notářka
kngai9t,48548456,Notářská komora České republiky
rzaais3,49276239,Notářská komora pro hl.m. Prahu
ifzab75,44995121,Notářská komora v Brně
2sjaisx,48209210,Notářská komora v Českých Budějovicích
bjuaits,48145432,Notářská komora v Hradci Králové
kc5aitn,48804592,Notářská komora v Ostravě
u6eaitg,45332797,Notářská komora v Plzni
5xpaitc,48136905,Notářská komora v Praze
eqyaiu7,44227400,Notářská komora v Ústí nad Labem
uirsqpg,03586022,Novák Dalibor - notář
mg6ca3y,25802445,Novák Miroslav - notář
63qca3n,25802470,Nováková Doubravka - notářka
fuzca4g,25802453,Nováková Radka - notářka
qnaca4b,25802488,Novobilský Vladimír - notář
98uca43,75074281,Novotná Šárka - notářka
t2yz9q8,03967379,Novotný František - notář
gvjg8s9,18146937,"Novozámský Vít, JUDr. - soudní exekutor"
fpavi2b,60869089,Obchodní akademie a Jazyková škola s právem SJZ
zfddmve,60064790,"Obchodní akademie a Vyšší odborná škola ekonomická, Tábor, Jiráskova 1615"
canek8d,60816759,"Obchodní akademie T.G.Masaryka a Jazyková škola s právem státní jazykové zkoušky, Jindřichův Hradec, Husova 156"
evzxrca,60076046,"Obchodní akademie,České Budějovice,Husova 1"
q7bb677,00581160,Obec Adamov
jm6amhn,00639664,Obec Adamov
x4ia845,00653560,OBEC ADRŠPACH
tudbvzd,00297429,Obec Albrechtice
79ga3f5,00581003,Obec Albrechtice
nq9br5t,00249521,Obec Albrechtice nad Vltavou
p9mby46,00579106,OBEC ALBRECHTICE N.O.
3tnap4y,00262277,OBEC ALBRECHTICE V JIZERSKÝCH HORÁCH
29gbvtm,00600814,Obec Albrechtičky
qxtbnud,00488542,Obec Alojzov
tjtb453,00573175,Obec Andělská Hora
g2ra3gx,00580988,Obec Anenská Studánka
mzhbk9w,00284751,Obec Archlebov
i6sav7b,00475858,Obec Arneštovice
y4nbtig,00373613,Obec Arnolec
hdra8pn,00261173,Obec Arnoltice
vxtaugv,00240028,Obec Babice
u9fbter,00375357,Obec Babice
qkqbtys,00635260,Obec Babice
hdvj2wp,00582964,Obec Babice
fqzbfmm,00290777,Obec Babice
uina9em,45978484,OBEC BABICE
7r7azss,00281557,Obec Babice nad Svitavou
8vta84z,00362531,Obec Babice u Rosic
z3bbkh5,00572551,Obec Babylon
ejtaq7s,00512231,Obec Bácovice
t6sa6y7,60114525,Obec Bačalky
4k6apeb,00274682,OBEC BAČETÍN
tmuayib,00375365,Obec Bačice
d97bpst,00579777,Obec Bačkov
iq9anye,48527408,Obec Bačkovice
g4zb4he,00842401,Obec Baliny
cfeb7un,00512516,Obec Balkova Lhota
6c5a4df,00579441,Obec Banín
v6fbfkw,00290785,Obec Bánov
vipb572,00512915,Obec Báňovice
gjgazti,00600113,Obec Bantice
un2ath9,00268593,Obec Barchov
eu3a3y2,00273317,Obec Barchov
53hb2ye,00235237,Obec Barchovice
anjbvnu,00297721,Obec Bartošovice
t3yb3z6,00274691,OBEC BARTOŠOVICE V ORLICKÝCH HORÁCH
f37ax67,00579785,Obec Bartoušov
mc6bfk4,00287024,Obec Bařice - Velké Těšany
g5vbzq5,00296511,Obec Baška
7iha554,00271314,Obec Bašnice
krhbtu3,00240036,Obec Bašť
c7cbp2b,00277657,Obec Batňovice
rcrazte,00600148,Obec Bavory
qeaaj6i,00509612,Obec Bavoryně
9d3avm3,00573001,Obec Bdeněves
ak7aru5,00639770,Obec Bdín
cm8b6an,00271322,Obec Běchary
zwfatth,00263346,Obec Bechlín
g6zefu2,00581178,Obec Bečice
kwuaytc,00512524,Obec Bečice
hsbbu2u,00265811,Obec Bečov
ka4bpef,00235245,Obec Bečváry
ap8b2fe,00288004,Obec Bedihošť
kxpedyg,00512923,Obec Bednárec
igbb7ga,00666874,Obec Bednáreček
97abtyg,00525511,Obec Bedřichov
z52azta,00636665,Obec Bedřichov
rawbhq2,00573507,Obec Běhařov
k9xatpz,00275603,Obec Bělá
3jsbg5g,00179612,Obec Bělá
phaaxyd,00534650,Obec Bělá
j2qa9uw,00512249,Obec Bělá
ibia4fk,00579459,Obec Bělá nad Svitavou
8cpbpc8,00302333,Obec Bělá pod Pradědem
z8ja3th,00484164,Obec Bělá u Jevíčka
9v2bg79,00640263,Obec Běleč
7wjajvb,00582506,Obec Běleč
egba4bv,00532070,Obec Běleč
8cyaqb2,00268615,Obec Běleč nad Orlicí
z6mbv37,00298654,Obec Bělkovice-Lašťany
mtuakzh,00234125,Obec Běloky
unrbsif,00301019,Obec Bělotín
5jqasq3,00287032,Obec Bělov
nqja78x,00265829,Obec Bělušice
5mgak6g,00235253,Obec Bělušice
s4ta4fg,00276375,Obec Benátky
6bda9xx,00653306,OBEC BENÁTKY
s5sapb4,00275581,Obec Benecko
x6vbxsh,00279927,Obec Benešov
9erbfiv,00245780,Obec Benešov nad Černou
shxbp99,00275590,Obec Benešov u Semil
x7xa8b5,00869066,Obec Benešovice
cxxavch,00375381,Obec Benetice
isib456,00636126,Obec Beňov
gkfakp7,00640301,Obec Bernardov
ym6bzfx,00473359,Obec Bernartice
jigbmbu,00302325,Obec Bernartice
reea6kx,00277665,Obec Bernartice
k62b232,00600717,Obec Bernartice nad Odrou
z6waw2z,00238988,Obec Běrunice
6heayt3,00234133,Obec Beřovice
mj3a3pz,00856606,Obec Běstovice
u4dbpe9,00269841,Obec Běstvina
59mbfhg,00255211,Obec Běšiny
fzrajtt,00509621,Obec Běštín
e6ea4e7,00194514,Obec Bezděčí u Trnávky
pmjaue4,00476838,Obec Bezdědovice
8s7bhft,00579793,Obec Bezděkov
d7uay4f,00574015,Obec Bezděkov
dtpbvp8,00255220,Obec Bezděkov
jq7bv4w,00273325,Obec Bezděkov
vgcbfhk,00653691,Obec Bezděkov nad Metují
a8dbzbf,00498629,Obec Bezděkov pod Třemšínem
yrxapak,00673382,Obec Bezděz
dwbbmcc,00600121,Obec Bezkov
442bmbk,00287041,Obec Bezměrov
jkzbpb5,00636118,Obec Bezuchov
7j3bk9p,00257541,Obec Bezvěrov
f98an2b,00262668,Obec Bílá
wssbk9s,00577669,Obec Bílá
q4ybght,00509108,Obec Bílá Hlína
ey6bk4u,00298662,Obec Bílá Lhota
ef5bqz2,00277673,Obec Bílá Třemešná
v92ar5s,00302341,Obec Bílá Voda
h9kbwpa,00295868,Obec Bílčice
7w9a5s9,00581054,OBEC BÍLÉ POLIČANY
3rmbups,00261793,Obec Bílence
4fzavrw,00640450,Obec Bílichov
qevbgeh,00232807,Obec Bílkovice
e4raxmp,48430749,Obec Bílov
tvcbgvz,47733381,Obec Bílov
kn3bfhs,00290793,Obec Bílovice
mh2b8ar,00281581,Obec Bílovice nad Svitavou
63bar5k,00288012,Obec Bílovice-Lutotín
fukar6e,00576239,Obec Bílsko
tmxam78,00250970,Obec Bílsko
tj4a54v,00578215,Obec Bílsko
ihdbfzt,00373621,Obec Bílý Kámen
ic4bjj7,00672106,Obec Bílý Kostel nad Nisou
4nfb5j4,00831417,Obec Bílý Potok
k6iaugz,00274704,Obec Bílý Újezd
n6sbzcq,43313868,Obec Biřkov
c96asze,00637513,Obec Biskoupky
2mwbxqm,00288021,Obec Biskupice
zxwbma7,00579467,Obec Biskupice
pxpa4e3,15054241,Obec Biskupice
x6daq7g,00283771,Obec Biskupice
tanbfzp,00375390,Obec Biskupice-Pulkov
nbzajvm,00237477,Obec Bítouchov
54nay6x,64629929,Obec Bítov
g7mbt6i,00292494,Obec Bítov
e73a87r,00485667,Obec Bítovany
nzzawb2,00839582,Obec Bítovčice
q6mbmab,00556238,Obec Bitozeves
jqkazux,00600130,Obec Blanné
vfab6y2,00673099,Obec Blatce
nd9bkw4,00635367,Obec Blatec
v9rbq6y,00257567,Obec Blatnice
tfta9n7,00375403,Obec Blatnice
gq8bpqx,00284769,Obec Blatnice pod Svatým Antonínkem
4qabmnf,00488518,Obec Blatnička
i24bvzj,00264768,Obec Blatno
92haqxs,00261807,Obec Blatno
bnsb5r6,47930292,Obec Blazice
jgmb48h,00246298,Obec Blažejov
kqqbkaa,00473456,Obec Blažejovice
z37bhqw,00573035,Obec Blažim
8uubm8b,00556246,Obec Blažim
yxvaqhs,00599263,Obec Blažkov
fiybqrh,00281603,Obec Blažovice
g8eb3qc,45978638,Obec Blešno
4hgbn8h,00234150,Obec Blevice
x8ib4j2,00599271,Obec Blízkov
u8nbjux,00253243,Obec Blížejov
g35b7ap,00524743,Obec Blíževedly
mvharsz,00556254,Obec Blšany u Loun
24hbfg3,00281611,Obec Blučina
cfvaj5b,00640280,Obec Bludov
sa8bfg9,00302368,Obec Bludov
fwxbgus,00238996,Obec Bobnice
326a8fu,00545376,Obec Bobrůvka
zi6bmm4,00535931,Obec Bocanovice
tyjb4s6,00301051,Obec Bochoř
8ntbxc8,00376094,Obec Bochovice
vcrb4yt,00271357,OBEC BOHÁŇKA
e4na9yr,00268640,OBEC BOHARYNĚ
uhvazut,00368750,Obec Bohaté Málkovice
2ivan5c,00673340,Obec Bohatice
fsra933,00599280,Obec Bohdalec
v8ybhk7,00291641,Obec Bohdalice - Pavlovice
iifaqif,00515981,Obec Bohdalín
vq2j2k5,00475785,Obec Bohdalovice
xxdbffn,00236004,Obec Bohdaneč
nm2a58q,00274712,OBEC BOHDAŠÍN
iswatrw,00302376,Obec Bohdíkov
h3ua8sx,00662763,Obec Bohostice
23fb6xh,00250333,Obec Bohumilice
ctnayws,00582972,Obec Bohunice
mtna9pp,00599298,Obec Bohuňov
s78a3ng,00276413,Obec Bohuňov
ha2btdi,00276421,Obec Bohuňovice
ywqbsb9,00298697,Obec Bohuňovice
qrvbmm8,00299839,Obec Bohuslavice
4ckawiw,00373630,Obec Bohuslavice
n54bffu,00288039,Obec Bohuslavice
wrwbp24,00302384,Obec Bohuslavice
kybbsay,00272493,OBEC BOHUSLAVICE NAD METUJÍ
ysibjig,70910731,Obec Bohuslavice nad Vláří
kzybw3i,00283789,Obec Bohuslavice u Zlína
gvpaxgf,00636142,Obec Bohuslávky
jcqaxei,00376078,Obec Bohušice
8n4ayb2,00295876,Obec Bohušov
2t5azwk,00637343,Obec Bohutice
qr6ank2,00241946,Obec Bohutín
qmvar6b,00302392,Obec Bohutín
2abav9x,00572977,Obec Bohy
kepazx9,00600229,Obec Bojanovice
bxqak97,00241091,Obec Bojanovice
brqj2x8,00267228,Obec Bojiště
idsb5g3,00299847,Obec Bolatice
y88aqxy,00261815,Obec Boleboř
i5qbmnq,00274721,OBEC BOLEHOŠŤ
jsxbqib,00255246,Obec Bolešiny
7jda3ct,00574082,Obec Bolkov
n3gbpsm,00179680,Obec Boňkov
vwua9k9,00496987,Obec Bor u Skutče
de5a9cz,00294021,Obec Borač
pv2axmj,00600687,Obec Bordovice
6w2avpy,00237493,Obec Boreč
9gpama7,00244678,Obec Borek
nefax8x,00267236,Obec Borek
78hbgjf,00236713,Obec Borek
z4vb3ms,00273376,Obec Borek
n42b6wa,00578223,OBEC BOREK
qe3atqe,00283029,Obec Borkovany
7wfed6t,00252093,Obec Borkovice
u7yazx5,00637351,Obec Borotice
vq8jdwx,00241962,Obec Borotice
9iubynr,00279951,Obec Borotín
z89bmqe,00276430,Obec Borová
u2wavxm,00654141,OBEC BOROVÁ
87xbg4x,00250341,Obec Borová Lada
rr4bvqi,00511455,Obec Borovany
